"risk_id","risk_name","description","ai_model_type","probability_level","impact_level","impact_dimensions","trigger_conditions","technological_dependencies","known_mitigations","regulatory_requirements","operational_priority","source_reference","provenance","related_risks","categories","energy_context","version"
"EG-R-0001","Training Data Poisoning","Adversaries inject malicious samples into training pipelines for forecasting models, leading to skewed predictions and unreliable dispatch guidance.","forecasting;deep_learning","3","5","reliability;safety","Compromised data supply chain for model retraining","Data labeling platforms;ETL pipelines","Data validation;supplier vetting","NERC-CIP-013;EU-AI-Act-TitleIV","5","MITRE_ATLAS:AML.T0020;AIID:INC-1023;MIT_AIRISK:data-integrity","merged: MITRE_ATLAS:AML.T0020 | AIID:INC-1023 | MIT_AIRISK:data-integrity | editor:ICCS | date:2024-03-01","EG-R-0003","technical.attack","transmission_control","1.0"
"EG-R-0002","Adversarial Evasion on Protective Relays","Adversarial perturbations targeting sensor inputs cause misclassification of fault conditions, bypassing automated trip logic.","deep_learning;control","2","5","safety;reliability","Malicious waveform injection at substation PMUs","Real-time monitoring;edge accelerators","Adversarial training;signal authentication","NERC-PRC-005;IEC-61850","5","MITRE_ATLAS:AML.T0043;AIID:INC-0875","merged: MITRE_ATLAS:AML.T0043 | AIID:INC-0875 | editor:ICCS | date:2024-03-01","EG-R-0017","technical.attack","transmission_control","1.0"
"EG-R-0014","Insider Data Poisoning","Privileged contractor alters sensor calibration files prior to training updates, biasing state estimation.","state_estimation;deep_learning","2","4","safety;security","Unauthorized modification to calibration repository","Version control systems;SCADA gateways","Code reviews;dual control","NERC-CIP-007;SOX-ITGC","4","MITRE_ATLAS:AML.T0020;AIID:INC-1099","merged: MITRE_ATLAS:AML.T0020 | AIID:INC-1099 | editor:ICCS | date:2024-03-09","EG-R-0001","technical.attack","transmission_control","1.0"
"EG-R-0015","Supplier Pipeline Poisoning","Third-party dataset vendor delivers manipulated renewable output histories impacting optimization accuracy.","forecasting;optimization","3","4","financial;reliability","Compromised supplier download channel","Vendor APIs;data brokers","Supplier assurance;cryptographic signing","NERC-CIP-013;ISO-27036","4","MITRE_ATLAS:AML.T0020;MIT_AIRISK:supply-chain","merged: MITRE_ATLAS:AML.T0020 | MIT_AIRISK:supply-chain | editor:ICCS | date:2024-03-09","EG-R-0001","technical.attack","supply_chain","1.0"
"EG-R-0016","Insecure Model Release","Leaked model artifacts allow adversaries to reverse engineer dispatch strategies.","optimization;deep_learning","2","3","security;financial","Improper access controls on model registry exports","Model registries;artifact stores","Access control hardening;encryption","NIST-800-53;NERC-CIP-004","3","MITRE_ATLAS:AML.T0044;AIID:INC-0622","merged: MITRE_ATLAS:AML.T0044 | AIID:INC-0622 | editor:ICCS | date:2024-03-10","EG-R-0006","technical.attack","enterprise_it","1.0"
"EG-R-0017","Real-Time Sensor Spoofing","Attackers replay stale PMU data causing incorrect load-shed instructions by AI-based stability tools.","deep_learning;control","3","5","safety;reliability","Compromised network segment at substation","PMUs;edge controllers","Secure sync;redundant sensing","NERC-CIP-005;IEC-60870-5-104","5","MITRE_ATLAS:AML.T0016.000;AIID:INC-0401","merged: MITRE_ATLAS:AML.T0016.000 | AIID:INC-0401 | editor:ICCS | date:2024-03-10","EG-R-0002","technical.attack","transmission_control","1.0"
"EG-R-0018","Backoffice Model Drift","Customer churn prediction drifts leading to mis-targeted retention incentives affecting revenue stability.","machine_learning;classification","4","3","financial;reputation","Changing customer behavior without retraining cadence","CRM systems;data lakes","Regular retraining;model governance","SEC-Fair-Disclosure;EU-GDPR","3","MIT_AIRISK:monitoring-drift;AIID:INC-0885","merged: MIT_AIRISK:monitoring-drift | AIID:INC-0885 | editor:FORA | date:2024-03-11","EG-R-0010","governance.monitoring","retail_energy","1.0"
"EG-R-0019","Regulatory Non-Compliance Tracking","AI assistant misclassifies regulatory filings deadlines leading to missed compliance milestones.","nlp;expert_systems","3","3","compliance;reputation","Ambiguous policy language without validation","Document understanding;workflow tools","Human validation checkpoints;compliance calendars","EU-AI-Act-TitleIX;FERC-Filing-Mandates","3","MIT_AIRISK:compliance-tracking;AIID:INC-0320","merged: MIT_AIRISK:compliance-tracking | AIID:INC-0320 | editor:HAL | date:2024-03-11","EG-R-0012","governance.compliance","legal_affairs","1.0"
"EG-R-0020","Regulatory Reporting Drift","Generative AI drafting compliance reports introduces hallucinated citations causing enforcement risk.","nlp;generative_ai","3","3","compliance;reputation","Rushed adoption of text generation without guardrails","LLM services;document stores","Fact-check pipelines;structured templates","EU-AI-Act-TitleIX;SEC-17A-4","3","MIT_AIRISK:transparency;AIID:INC-0973","merged: MIT_AIRISK:transparency | AIID:INC-0973 | editor:HAL | date:2024-03-12","EG-R-0019","governance.compliance","legal_affairs","1.0"
"EG-R-0021","Legal Exposure from Data Rights","Unclear licensing for training data triggers contractual disputes and injunctions on AI services.","machine_learning;generative_ai","2","3","compliance;financial","Use of third-party corpora without audit","Data pipelines;content repositories","License review;data provenance tracking","US-COPYRIGHT-LAW;EU-AI-Act-Art52","3","MIT_AIRISK:data-rights;AIID:INC-0111","merged: MIT_AIRISK:data-rights | AIID:INC-0111 | editor:HAL | date:2024-03-12","EG-R-0019","governance.legal","legal_affairs","1.0"
"EG-R-0022","AI-enabled Privacy Breach Incident","Incident where facial recognition misidentifies workers and leaks attendance data.","computer_vision;classification","3","4","privacy;safety","Deployment in poorly lit substations without calibration","Edge cameras;ID management systems","Privacy impact assessments;improved lighting","EU-GDPR;US-BIOMETRIC-PRIVACY-ACTS","4","AIID:INC-0444;MIT_AIRISK:privacy-incidents","merged: AIID:INC-0444 | MIT_AIRISK:privacy-incidents | editor:HAL | date:2024-03-13","EG-R-0004","privacy.governance","substation_security","1.0"
"EG-R-0023","Safety Misclassification Incident","Autonomous drone inspection mislabels structural damage leading to delayed repairs and safety hazard.","computer_vision;reinforcement_learning","3","4","safety;operational","Model deployed without domain-specific validation","Drone platforms;inspection analytics","Domain testing;human confirmation","FAA-Part107;OSHA-29CFR-1910","4","AIID:INC-0578;MIT_AIRISK:safety-monitoring","merged: AIID:INC-0578 | MIT_AIRISK:safety-monitoring | editor:ICCS | date:2024-03-13","EG-R-0013","safety.incidents","asset_management","1.0"
"EG-R-0024","Grid Forecast Outage Incident","Forecasting failure during cold snap causes rolling blackouts and financial losses.","forecasting;timeseries","4","5","reliability;financial","Unmodeled extreme weather combined with data latency","Forecasting clusters;weather feeds","Stress testing;redundant feeds","NERC-EOP-011;EU-AI-Act-Art9","5","AIID:INC-0639;MIT_AIRISK:monitoring-drift","merged: AIID:INC-0639 | MIT_AIRISK:monitoring-drift | editor:FORA | date:2024-03-14","EG-R-0010","governance.monitoring","transmission_planning","1.0"
